,agent0/mean_episode_rewards,agent1/mean_episode_rewards,agent2/mean_episode_rewards,agent3/mean_episode_rewards,agent_mean/mean_episode_rewards
395,0.25999999046325684,0.25999999046325684,0.25999999046325684,-0.43918052315711975,0.08520486950874329
396,0.6800000071525574,0.6800000071525574,0.6800000071525574,-0.9436107277870178,0.2740973234176636
397,0.41999998688697815,0.41999998688697815,0.41999998688697815,-0.6602340936660767,0.14994147419929504
398,0.6600000262260437,0.6600000262260437,0.6600000262260437,-0.8110485672950745,0.2922378480434418
399,0.3799999952316284,0.3799999952316284,0.3799999952316284,-0.5727918148040771,0.14180205762386322
400,0.30000001192092896,0.30000001192092896,0.30000001192092896,-0.5086223483085632,0.09784441441297531
401,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.7427805662155151,0.17430485785007477
402,0.2199999988079071,0.2199999988079071,0.2199999988079071,-0.3476858139038086,0.07807854562997818
403,0.3400000035762787,0.3400000035762787,0.3400000035762787,-0.4929274916648865,0.1317681223154068
404,0.4399999976158142,0.4399999976158142,0.4399999976158142,-0.7617267370223999,0.13956831395626068
405,0.4399999976158142,0.4399999976158142,0.4399999976158142,-0.6742828488349915,0.1614292860031128
406,0.5,0.5,0.5,-0.6691527962684631,0.20771180093288422
407,0.46000000834465027,0.46000000834465027,0.46000000834465027,-0.6450634002685547,0.18373414874076843
408,1.0199999809265137,1.0199999809265137,1.0199999809265137,-1.1752383708953857,0.4711903929710388
409,0.800000011920929,0.800000011920929,0.800000011920929,-0.929416298866272,0.36764591932296753
410,0.7599999904632568,0.7599999904632568,0.7599999904632568,-1.0215822458267212,0.31460443139076233
411,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.7034712433815002,0.1841321885585785
412,0.36000001430511475,0.36000001430511475,0.36000001430511475,-0.5031631588935852,0.14420922100543976
413,0.46000000834465027,0.46000000834465027,0.46000000834465027,-0.8388708829879761,0.13528227806091309
414,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.49424466490745544,0.1764388382434845
415,0.699999988079071,0.699999988079071,0.699999988079071,-0.8074050545692444,0.3231487274169922
416,0.4399999976158142,0.4399999976158142,0.4399999976158142,-0.6295856833457947,0.172603577375412
417,0.30000001192092896,0.30000001192092896,0.30000001192092896,-0.5414556264877319,0.08963609486818314
418,0.6000000238418579,0.6000000238418579,0.6000000238418579,-0.7791104912757874,0.2552223801612854
419,0.4399999976158142,0.4399999976158142,0.4399999976158142,-0.5587769746780396,0.19030575454235077
420,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.6751648783683777,0.19120877981185913
421,0.699999988079071,0.699999988079071,0.699999988079071,-0.9109405875205994,0.29726484417915344
422,0.5799999833106995,0.5799999833106995,0.5799999833106995,-0.6959016919136047,0.2610245645046234
423,0.6000000238418579,0.6000000238418579,0.6000000238418579,-0.847445011138916,0.23813875019550323
424,0.6600000262260437,0.6600000262260437,0.6600000262260437,-1.0232385396957397,0.23919036984443665
425,0.5400000214576721,0.5400000214576721,0.5400000214576721,-0.7494319081306458,0.21764202415943146
426,0.47999998927116394,0.47999998927116394,0.47999998927116394,-0.5821099281311035,0.21447251737117767
427,0.5400000214576721,0.5400000214576721,0.5400000214576721,-0.7424916625022888,0.2193770855665207
428,0.05999999865889549,0.05999999865889549,0.05999999865889549,-0.2492215484380722,-0.017305387184023857
429,0.46000000834465027,0.46000000834465027,0.46000000834465027,-0.5860207080841064,0.1984948217868805
430,0.36000001430511475,0.36000001430511475,0.36000001430511475,-0.68905109167099,0.09773723036050797
431,0.7400000095367432,0.7400000095367432,0.7400000095367432,-0.8137096762657166,0.35157257318496704
432,0.6200000047683716,0.6200000047683716,0.6200000047683716,-0.8881154656410217,0.24297113716602325
433,0.5,0.5,0.5,-0.7942494750022888,0.1764376312494278
434,0.41999998688697815,0.41999998688697815,0.41999998688697815,-0.6807114481925964,0.1448221355676651
435,0.46000000834465027,0.46000000834465027,0.46000000834465027,-0.7445762753486633,0.15885592997074127
436,0.3400000035762787,0.3400000035762787,0.3400000035762787,-0.460431307554245,0.13989217579364777
437,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.6710002422332764,0.13224995136260986
438,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.8193557262420654,0.095161072909832
439,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.6953938007354736,0.12615154683589935
440,0.5799999833106995,0.5799999833106995,0.5799999833106995,-0.9371663331985474,0.20070841908454895
441,0.6200000047683716,0.6200000047683716,0.6200000047683716,-0.7610681653022766,0.27473294734954834
442,0.7400000095367432,0.7400000095367432,0.7400000095367432,-0.9448208212852478,0.31879478693008423
443,0.6800000071525574,0.6800000071525574,0.6800000071525574,-0.9697932600975037,0.2675516903400421
444,0.41999998688697815,0.41999998688697815,0.41999998688697815,-0.6417946815490723,0.15455132722854614
445,0.41999998688697815,0.41999998688697815,0.41999998688697815,-0.6294952034950256,0.1576261967420578
446,0.41999998688697815,0.41999998688697815,0.41999998688697815,-0.7409660816192627,0.12975847721099854
447,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.6945904493331909,0.12635239958763123
448,0.5,0.5,0.5,-0.7351188659667969,0.19122028350830078
449,0.7799999713897705,0.7799999713897705,0.7799999713897705,-0.964302659034729,0.343924343585968
450,0.5799999833106995,0.5799999833106995,0.5799999833106995,-0.878581166267395,0.21535471081733704
451,0.6200000047683716,0.6200000047683716,0.6200000047683716,-0.7816659808158875,0.26958349347114563
452,0.41999998688697815,0.41999998688697815,0.41999998688697815,-0.6587908864021301,0.15030227601528168
453,0.3799999952316284,0.3799999952316284,0.3799999952316284,-0.6073701977729797,0.13315744698047638
454,0.5600000023841858,0.5600000023841858,0.5600000023841858,-0.8551898002624512,0.20620255172252655
455,0.9800000190734863,0.9800000190734863,0.9800000190734863,-1.2069237232208252,0.43326905369758606
456,0.6200000047683716,0.6200000047683716,0.6200000047683716,-0.8502799272537231,0.2524300217628479
457,0.699999988079071,0.699999988079071,0.699999988079071,-1.0674718618392944,0.25813204050064087
458,0.6600000262260437,0.6600000262260437,0.6600000262260437,-0.9728745222091675,0.2517813742160797
459,0.4000000059604645,0.4000000059604645,0.4000000059604645,-0.8843263983726501,0.07891840487718582
460,0.5199999809265137,0.5199999809265137,0.5199999809265137,-0.8217903971672058,0.184552401304245
