,agent0/mean_episode_rewards,agent1/mean_episode_rewards,agent_mean/mean_episode_rewards
0,-0.4900611937046051,-1.150876760482788,-0.8204689621925354
1,-0.0053458865731954575,-1.0049818754196167,-0.505163848400116
2,-0.011228368617594242,-1.1626713275909424,-0.5869498252868652
3,-0.08869034051895142,-1.167304277420044,-0.6279972791671753
4,-0.10730420053005219,-1.2406567335128784,-0.6739804744720459
5,0.23104283213615417,-1.2703965902328491,-0.5196768641471863
6,0.3385874927043915,-1.3558870553970337,-0.5086497664451599
7,0.05421959608793259,-1.4924774169921875,-0.7191289067268372
8,-0.4520670473575592,-1.1486260890960693,-0.8003465533256531
9,-0.478349506855011,-1.5389491319656372,-1.0086493492126465
10,0.015183226205408573,-1.2028613090515137,-0.5938389897346497
11,-0.4281942844390869,-1.3655624389648438,-0.8968783617019653
12,-0.037314750254154205,-1.3340669870376587,-0.6856908798217773
13,-0.19841128587722778,-0.6812277436256409,-0.4398195147514343
14,-0.3001841604709625,-0.583094596862793,-0.44163939356803894
15,0.08540111035108566,-0.808753252029419,-0.36167606711387634
16,0.05828673392534256,-0.7290091514587402,-0.33536121249198914
17,-0.08295340836048126,-0.7854416370391846,-0.4341975152492523
18,-0.14070506393909454,-0.6145716905593872,-0.37763839960098267
19,-0.148024320602417,-0.5879114866256714,-0.3679679036140442
20,-0.48059189319610596,-0.44329318404197693,-0.46194252371788025
21,-0.26379337906837463,-0.4187604784965515,-0.34127694368362427
22,-0.5264000296592712,-0.26998022198677063,-0.39819014072418213
23,-0.6985554695129395,-0.47230884432792664,-0.5854321718215942
24,-0.5239050388336182,-0.39093440771102905,-0.4574197232723236
25,-0.351423054933548,-0.5021288990974426,-0.4267759621143341
26,-0.3832273781299591,-0.334120512008667,-0.35867393016815186
27,-0.4168376624584198,-0.43871384859085083,-0.4277757704257965
28,-0.4247390031814575,-0.35823628306388855,-0.39148762822151184
29,-0.44437354803085327,-0.32950788736343384,-0.38694071769714355
30,-0.21487760543823242,-0.4151918888092041,-0.31503474712371826
31,-0.12460234761238098,-0.30290114879608154,-0.21375176310539246
32,-0.29385894536972046,-0.4175228178501129,-0.3556908667087555
33,-0.26090148091316223,-0.2463536411523819,-0.25362756848335266
34,-0.2698062062263489,-0.44381046295166016,-0.3568083345890045
35,-0.11994176357984543,-0.3138379454612732,-0.2168898582458496
36,-0.13819295167922974,-0.5271931290626526,-0.33269304037094116
37,-0.5721158981323242,-0.21510717272758484,-0.3936115503311157
38,-0.3553985059261322,-0.3794875144958496,-0.3674429953098297
39,-0.5242947340011597,-0.3250735402107239,-0.4246841371059418
40,-0.34277215600013733,-0.26710957288742065,-0.3049408793449402
41,-0.2135150134563446,-0.22444020211696625,-0.21897761523723602
42,-0.41112083196640015,-0.26534128189086914,-0.33823105692863464
43,-0.4205317497253418,-0.19402970373630524,-0.3072807490825653
44,-0.2729180157184601,-0.2324698567390442,-0.25269392132759094
45,-0.29468002915382385,-0.29232150316238403,-0.29350078105926514
46,-0.3471522033214569,-0.2957608997821808,-0.32145655155181885
47,-0.3557933568954468,-0.22033143043518066,-0.2880623936653137
48,-0.40469104051589966,-0.3114621639251709,-0.3580766022205353
49,-0.18675190210342407,-0.4311729371547699,-0.3089624345302582
50,-0.3305324912071228,-0.23896384239196777,-0.2847481667995453
51,-0.12810412049293518,-0.3109765350818634,-0.2195403277873993
52,-0.22835707664489746,-0.2883336842060089,-0.258345365524292
53,-0.38552623987197876,-0.243637815117836,-0.3145820200443268
54,-0.21344588696956635,-0.5179573893547058,-0.3657016456127167
55,-0.43498995900154114,-0.24902300536632538,-0.34200647473335266
56,-0.10922892391681671,-0.3823828399181366,-0.24580588936805725
57,-0.13464076817035675,-0.43963223695755005,-0.2871364951133728
58,-0.26141536235809326,-0.343074232339859,-0.30224481225013733
59,-0.1073780357837677,-0.4084589183330536,-0.25791847705841064
60,-0.2268812358379364,-0.24815401434898376,-0.23751762509346008
61,-0.22578607499599457,-0.3533886969089508,-0.2895873785018921
62,-0.2649698555469513,-0.3721463084220886,-0.31855809688568115
63,-0.15007269382476807,-0.16678108274936676,-0.15842688083648682
64,-0.2241763025522232,-0.4157184064388275,-0.31994736194610596
65,-0.23725688457489014,-0.3254677355289459,-0.2813623249530792
66,-0.1922575980424881,-0.2864900529384613,-0.2393738329410553
67,-0.32112497091293335,-0.2286517322063446,-0.2748883366584778
68,-0.22341744601726532,-0.2402900606393814,-0.23185375332832336
69,-0.32065218687057495,-0.2689323425292969,-0.2947922646999359
70,-0.11566545814275742,-0.28183338046073914,-0.19874942302703857
71,-0.47232887148857117,-0.2512998878955841,-0.36181437969207764
72,-0.33895474672317505,-0.23571495711803436,-0.2873348593711853
73,-0.41903021931648254,-0.2691124975681305,-0.3440713584423065
74,-0.23394405841827393,-0.32357704639434814,-0.27876055240631104
75,-0.29184770584106445,-0.32887881994247437,-0.3103632628917694
76,-0.19395242631435394,-0.3001440167427063,-0.24704821407794952
77,-0.45889368653297424,-0.18089377880096436,-0.3198937475681305
78,-0.06608808040618896,-0.3596450388431549,-0.21286655962467194
79,-0.43172475695610046,-0.25798165798187256,-0.3448531925678253
80,-0.2644863724708557,-0.2938225567340851,-0.2791544497013092
81,-0.38504934310913086,-0.4375343322753906,-0.41129183769226074
82,-0.16157348453998566,-0.2363033890724182,-0.19893842935562134
83,-0.19007036089897156,-0.22519327700138092,-0.20763182640075684
84,-0.5656548142433167,-0.3381493091583252,-0.4519020617008209
85,-0.48817139863967896,-0.18353551626205444,-0.3358534574508667
86,-0.4950312376022339,-0.22975212335586548,-0.3623916804790497
87,-0.2933157682418823,-0.19263452291488647,-0.2429751455783844
88,-0.3973563313484192,-0.2744382321834564,-0.3358972668647766
89,-0.19562163949012756,-0.3893479108810425,-0.29248476028442383
90,-0.3990071415901184,-0.14670968055725098,-0.2728584110736847
91,-0.11656900495290756,-0.30003392696380615,-0.20830145478248596
92,-0.17067493498325348,-0.2769290804862976,-0.22380201518535614
93,-0.07512015849351883,-0.25236618518829346,-0.16374318301677704
94,-0.24210667610168457,-0.30043259263038635,-0.27126961946487427
95,0.025579554960131645,-0.41693150997161865,-0.19567598402500153
96,-0.08866196125745773,-0.4158581495285034,-0.2522600591182709
97,-0.08932405710220337,-0.4123848080635071,-0.2508544325828552
98,-0.13043636083602905,-0.33864760398864746,-0.23454198241233826
99,-0.410289466381073,-0.2469387650489807,-0.32861411571502686
100,-0.14326339960098267,-0.45077624917030334,-0.2970198094844818
101,-0.4378718435764313,-0.37540045380592346,-0.40663614869117737
102,-0.10400748252868652,-0.37215563654899597,-0.23808155953884125
103,-0.46619725227355957,-0.2045842856168747,-0.33539077639579773
104,-0.04334951564669609,-0.5193943977355957,-0.28137195110321045
105,-0.09696014970541,-0.3396981358528137,-0.21832913160324097
106,-0.3739161193370819,-0.33409979939460754,-0.3540079593658447
107,-0.12748447060585022,-0.34351569414138794,-0.23550008237361908
108,-0.07634375244379044,-0.3548509478569031,-0.21559736132621765
109,-0.1770940124988556,-0.3066141605377197,-0.24185408651828766
110,-0.20666277408599854,-0.4701530337333679,-0.3384079039096832
111,-0.08533412218093872,-0.369737833738327,-0.22753597795963287
112,-0.3149566948413849,-0.43163609504699707,-0.3732964098453522
113,-0.08223906904459,-0.5753483176231384,-0.3287937045097351
114,-0.12555404007434845,-0.31399813294410706,-0.21977609395980835
115,-0.22936904430389404,-0.22433455288410187,-0.22685179114341736
116,-0.19240298867225647,-0.3028765618801117,-0.24763977527618408
117,-0.1803073137998581,-0.23252680897712708,-0.206417053937912
118,-0.16409265995025635,-0.3313050866127014,-0.24769887328147888
119,-0.39451491832733154,-0.2873954772949219,-0.3409551978111267
120,-0.2658868432044983,-0.3024581968784332,-0.28417253494262695
121,-0.20331202447414398,-0.33883753418922424,-0.2710747718811035
122,-0.29825735092163086,-0.19458693265914917,-0.24642214179039001
123,-0.1515543907880783,-0.4377466142177582,-0.29465049505233765
124,-0.19296306371688843,-0.4619888961315155,-0.32747596502304077
125,-0.18557655811309814,-0.41768649220466614,-0.30163151025772095
126,-0.16472983360290527,-0.4049525856971741,-0.2848412096500397
127,-0.22129297256469727,-0.2346428632736206,-0.22796791791915894
128,-0.23109737038612366,-0.2200046181678772,-0.22555099427700043
129,-0.18810461461544037,-0.3010094165802002,-0.24455700814723969
130,-0.31286564469337463,-0.3829362094402313,-0.347900927066803
131,-0.24714718759059906,-0.2313341200351715,-0.23924066126346588
132,-0.1823691427707672,-0.3464427888393402,-0.2644059658050537
133,-0.1571432203054428,-0.3847326934337616,-0.2709379494190216
134,-0.15365584194660187,-0.3221089541912079,-0.23788240551948547
135,-0.31255728006362915,-0.22591236233711243,-0.269234836101532
136,-0.5933194756507874,-0.3026299476623535,-0.44797471165657043
137,-0.10523664951324463,-0.29234758019447327,-0.19879211485385895
138,-0.33467385172843933,-0.282543420791626,-0.30860865116119385
139,-0.11885029077529907,-0.3098071813583374,-0.21432873606681824
140,-0.06617585569620132,-0.3905990421772003,-0.22838746011257172
141,-0.2668643891811371,-0.29966431856155396,-0.2832643687725067
142,-0.16002988815307617,-0.39941486716270447,-0.2797223925590515
143,-0.28783953189849854,-0.32811903953552246,-0.3079792857170105
144,-0.14807778596878052,-0.21130213141441345,-0.17968995869159698
145,-0.15755288302898407,-0.3455793559551239,-0.2515661120414734
146,-0.2364548146724701,-0.360018253326416,-0.29823651909828186
147,-0.24327217042446136,-0.3551846444606781,-0.29922839999198914
148,-0.4210302233695984,-0.25792568922042847,-0.3394779562950134
149,-0.1569352000951767,-0.25117018818855286,-0.20405270159244537
150,-0.0063985297456383705,-0.42633482813835144,-0.21636667847633362
151,-0.46184617280960083,-0.2379227578639984,-0.3498844504356384
152,-0.15784047544002533,-0.33190786838531494,-0.24487416446208954
153,-0.38841381669044495,-0.21119126677513123,-0.2998025417327881
154,-0.3358350098133087,-0.39095669984817505,-0.3633958399295807
155,-0.18968629837036133,-0.4731414020061493,-0.3314138352870941
156,-0.24721157550811768,-0.38675546646118164,-0.31698352098464966
157,-0.1915062516927719,-0.16393357515335083,-0.17771990597248077
158,-0.2258802205324173,-0.24318642914295197,-0.23453332483768463
159,-0.0714048370718956,-0.31369179487228394,-0.19254830479621887
160,-0.23413121700286865,-0.34689390659332275,-0.2905125617980957
161,-0.33350518345832825,-0.2732606828212738,-0.303382933139801
162,-0.11932344734668732,-0.25704625248908997,-0.18818485736846924
163,-0.07964570075273514,-0.37680941820144653,-0.22822755575180054
164,-0.15948231518268585,-0.16420239210128784,-0.16184234619140625
165,-0.12960956990718842,-0.26427707076072693,-0.19694331288337708
166,-0.06064349040389061,-0.45043835043907166,-0.2555409371852875
167,-0.1256447583436966,-0.27510350942611694,-0.20037414133548737
168,-0.39725053310394287,-0.25674957036972046,-0.32700005173683167
169,-0.5320752859115601,-0.2803725302219391,-0.4062238931655884
170,-0.09875611960887909,-0.39822402596473694,-0.24849006533622742
171,-0.22792130708694458,-0.28058502078056335,-0.2542531490325928
172,-0.2655489444732666,-0.3014432489871979,-0.28349608182907104
173,-0.1662294715642929,-0.34242838621139526,-0.2543289363384247
174,-0.030804961919784546,-0.40850719809532166,-0.2196560800075531
175,-0.11620257049798965,-0.2173478901386261,-0.16677522659301758
176,-0.07753919064998627,-0.3352492153644562,-0.20639421045780182
177,-0.21743230521678925,-0.2583634555339813,-0.2378978729248047
178,-0.1681421846151352,-0.3221944570541382,-0.2451683133840561
179,-0.2057686448097229,-0.35733360052108765,-0.2815511226654053
180,-0.2030937671661377,-0.3582894802093506,-0.28069162368774414
181,-0.3464886248111725,-0.27945759892463684,-0.31297311186790466
182,-0.1493426412343979,-0.2625328302383423,-0.2059377282857895
183,-0.22161664068698883,-0.22255045175552368,-0.22208353877067566
184,-0.2327006459236145,-0.40252047777175903,-0.31761056184768677
185,-0.14460812509059906,-0.28627946972846985,-0.21544378995895386
186,-0.15611137449741364,-0.2538391649723053,-0.20497527718544006
187,-0.2713553309440613,-0.22473002970218658,-0.24804267287254333
188,-0.18711724877357483,-0.3691161870956421,-0.27811670303344727
189,-0.11229296773672104,-0.3671429753303528,-0.2397179752588272
190,-0.1602213978767395,-0.29028740525245667,-0.22525440156459808
191,-0.14871267974376678,-0.4316520094871521,-0.29018235206604004
192,-0.20142090320587158,-0.3367249667644501,-0.26907292008399963
193,-0.11863986402750015,-0.2500973343849182,-0.18436859548091888
194,-0.267666220664978,-0.2317136973142624,-0.2496899515390396
195,-0.09481501579284668,-0.2561134397983551,-0.1754642128944397
196,-0.145359605550766,-0.23575834929943085,-0.19055898487567902
197,0.0052014123648405075,-0.45424434542655945,-0.2245214730501175
198,-0.31339743733406067,-0.1786852329969406,-0.24604132771492004
199,-0.18044573068618774,-0.24341125786304474,-0.21192850172519684
200,-0.1232951208949089,-0.3788358271121979,-0.2510654926300049
201,-0.15068084001541138,-0.2319634109735489,-0.19132213294506073
202,-0.20735694468021393,-0.27149438858032227,-0.2394256591796875
203,-0.16265936195850372,-0.37946048378944397,-0.27105993032455444
204,-0.07768037170171738,-0.3111267685890198,-0.19440357387065887
205,-0.1615723967552185,-0.3442714512348175,-0.2529219090938568
206,-0.2685856223106384,-0.30102893710136414,-0.2848072946071625
207,-0.18451809883117676,-0.3158179521560669,-0.2501680254936218
208,-0.117201067507267,-0.2777020037174225,-0.19745153188705444
209,-0.444549024105072,-0.22298668324947357,-0.3337678611278534
210,-0.26346543431282043,-0.356381893157959,-0.3099236786365509
211,-0.09503727406263351,-0.3540336787700653,-0.2245354801416397
212,-0.15743787586688995,-0.31920909881591797,-0.23832347989082336
213,-0.3020339012145996,-0.2788968086242676,-0.2904653549194336
214,-0.23604010045528412,-0.35805511474609375,-0.29704761505126953
215,-0.1807960569858551,-0.21342146396636963,-0.19710876047611237
216,-0.09397158771753311,-0.2924739420413971,-0.1932227611541748
217,-0.20350348949432373,-0.29324254393577576,-0.24837301671504974
218,-0.2166401743888855,-0.15453435480594635,-0.18558727204799652
219,-0.12982508540153503,-0.2893596291542053,-0.20959235727787018
220,-0.21656323969364166,-0.3758944869041443,-0.2962288558483124
221,-0.3398189842700958,-0.2621012330055237,-0.30096012353897095
222,-0.21190409362316132,-0.22377057373523712,-0.21783733367919922
223,-0.20224477350711823,-0.3137504756450653,-0.25799763202667236
224,-0.23368093371391296,-0.35479530692100525,-0.2942381203174591
225,-0.06020041182637215,-0.3828275501728058,-0.22151398658752441
226,-0.09337005019187927,-0.3487594425678253,-0.2210647463798523
227,-0.29425808787345886,-0.34522345662117004,-0.31974077224731445
228,-0.08054147660732269,-0.269609272480011,-0.17507536709308624
229,-0.2106948345899582,-0.2985662519931793,-0.25463053584098816
230,0.058611977845430374,-0.473072350025177,-0.20723018050193787
231,-0.4016297161579132,-0.295852392911911,-0.3487410545349121
232,-0.12485062330961227,-0.3687848448753357,-0.24681773781776428
233,-0.17115692794322968,-0.4051027297973633,-0.2881298363208771
234,-0.20782463252544403,-0.259367972612381,-0.2335963100194931
235,-0.23999559879302979,-0.3093706965446472,-0.2746831476688385
236,-0.1639898121356964,-0.2562698423862457,-0.21012982726097107
237,-0.478564977645874,-0.13338902592658997,-0.3059770166873932
238,-0.12131911516189575,-0.4149634838104248,-0.2681412994861603
239,-0.1249743103981018,-0.3352990746498108,-0.2301366925239563
240,-0.21058686077594757,-0.39675047993659973,-0.30366867780685425
241,-0.04506582394242287,-0.3682527244091034,-0.20665927231311798
242,-0.17131982743740082,-0.34821173548698425,-0.25976577401161194
243,-0.28987404704093933,-0.19519564509391785,-0.2425348460674286
244,-0.19761709868907928,-0.32621341943740845,-0.26191526651382446
245,-0.10878709703683853,-0.22640930116176605,-0.1675982028245926
246,-0.3154448866844177,-0.2063789665699005,-0.2609119117259979
247,-0.1813555508852005,-0.18470154702663422,-0.18302854895591736
248,-0.20647382736206055,-0.30920326709747314,-0.25783854722976685
249,-0.22171245515346527,-0.23399688303470612,-0.2278546690940857
250,-0.17701925337314606,-0.25641703605651855,-0.2167181521654129
251,-0.20379257202148438,-0.28535139560699463,-0.2445719987154007
252,-0.1966858208179474,-0.28015539050102234,-0.23842060565948486
253,-0.2506506145000458,-0.29620617628097534,-0.27342838048934937
254,-0.27454063296318054,-0.3157790005207062,-0.29515981674194336
255,-0.1643497198820114,-0.20981577038764954,-0.18708275258541107
256,-0.06354973465204239,-0.3943057656288147,-0.22892774641513824
257,-0.15254507958889008,-0.3705819845199585,-0.2615635097026825
258,-0.17036578059196472,-0.23173241317272186,-0.2010490894317627
259,-0.11071953922510147,-0.30085670948028564,-0.20578812062740326
260,-0.11877065151929855,-0.3467239737510681,-0.23274730145931244
261,-0.2573113441467285,-0.2409951388835907,-0.2491532415151596
262,-0.2540145516395569,-0.2023220807313919,-0.228168323636055
263,-0.43788614869117737,-0.1680014729499817,-0.3029438257217407
264,-0.17303501069545746,-0.28730300068855286,-0.23016901314258575
265,-0.4492526054382324,-0.18998071551322937,-0.3196166455745697
266,-0.1992557942867279,-0.2909124195575714,-0.24508410692214966
267,-0.12645259499549866,-0.40043583512306213,-0.2634442150592804
268,-0.2995520830154419,-0.2881850302219391,-0.2938685417175293
269,-0.2036069929599762,-0.3179398477077484,-0.2607734203338623
270,-0.2073715627193451,-0.2704613506793976,-0.23891645669937134
271,-0.30109667778015137,-0.2323899120092392,-0.2667433023452759
272,-0.19300799071788788,-0.5238832235336304,-0.3584456145763397
273,-0.1978965848684311,-0.25171801447868347,-0.22480730712413788
274,-0.18983705341815948,-0.2157861441373825,-0.202811598777771
275,-0.17047050595283508,-0.33035925030708313,-0.2504148781299591
276,-0.20196038484573364,-0.3066917955875397,-0.25432607531547546
277,-0.14677029848098755,-0.326221764087677,-0.23649603128433228
278,-0.0600440613925457,-0.48979029059410095,-0.2749171853065491
279,-0.23205825686454773,-0.4566340446472168,-0.34434613585472107
280,-0.25579777359962463,-0.2343543916940689,-0.24507609009742737
281,-0.1730315238237381,-0.3807559907436371,-0.2768937647342682
282,-0.46977463364601135,-0.26412689685821533,-0.36695075035095215
283,-0.3025763928890228,-0.3119218349456787,-0.3072490990161896
284,-0.36275172233581543,-0.2582052946090698,-0.3104785084724426
285,-0.10761170834302902,-0.241670623421669,-0.17464116215705872
286,-0.2560836374759674,-0.21178816258907318,-0.2339359074831009
287,-0.2767167091369629,-0.22734718024730682,-0.25203195214271545
288,-0.1687225103378296,-0.23564769327640533,-0.20218509435653687
289,-0.17904843389987946,-0.2812981605529785,-0.23017330467700958
290,-0.10941112786531448,-0.3031490445137024,-0.20628009736537933
291,-0.1580386906862259,-0.351012647151947,-0.25452566146850586
292,-0.14623717963695526,-0.46643343567848206,-0.30633530020713806
293,-0.24763965606689453,-0.4887295365333557,-0.3681845963001251
294,-0.22954972088336945,-0.26353195309638977,-0.2465408444404602
295,-0.06250595301389694,-0.33610275387763977,-0.19930435717105865
296,-0.18635356426239014,-0.24120569229125977,-0.21377962827682495
297,-0.3616771697998047,-0.326152503490448,-0.34391483664512634
298,-0.13605183362960815,-0.22163234651088715,-0.17884208261966705
299,-0.17918846011161804,-0.2752935588359833,-0.22724100947380066
300,-0.08076106011867523,-0.5101355314254761,-0.29544827342033386
301,-0.3257429897785187,-0.31974726915359497,-0.32274511456489563
302,-0.32355958223342896,-0.23653873801231384,-0.2800491452217102
303,-0.6092840433120728,-0.2181062549352646,-0.41369515657424927
304,0.07554791867733002,-0.5293347835540771,-0.22689342498779297
305,-0.20827266573905945,-0.4064610004425049,-0.30736684799194336
306,-0.26236459612846375,-0.3640361428260803,-0.31320035457611084
307,-0.19461575150489807,-0.37689074873924255,-0.2857532501220703
308,-0.18132157623767853,-0.3102678656578064,-0.24579471349716187
309,-0.18749584257602692,-0.32378050684928894,-0.2556381821632385
310,-0.2309923619031906,-0.44716325402259827,-0.33907780051231384
311,-0.26109880208969116,-0.3054378628730774,-0.2832683324813843
312,-0.07740770280361176,-0.33247441053390503,-0.204941064119339
313,-0.33657142519950867,-0.2394317090511322,-0.28800156712532043
314,-0.3279061019420624,-0.3078744113445282,-0.3178902566432953
