,agent0/mean_episode_rewards,agent1/mean_episode_rewards,agent2/mean_episode_rewards,agent3/mean_episode_rewards,agent4/mean_episode_rewards,agent5/mean_episode_rewards,agent_mean/mean_episode_rewards
0,0.34831729531288147,0.38254669308662415,0.3732992112636566,0.35621577501296997,-0.3223218619823456,-0.5695839524269104,0.09474552422761917
1,0.6816706657409668,0.6987677812576294,0.7166882157325745,0.6850229501724243,-0.49099043011665344,-0.9584592580795288,0.2221166491508484
2,0.5474840998649597,0.5808746218681335,0.5788444876670837,0.5496628880500793,-0.3856693506240845,-0.26572632789611816,0.2675783932209015
3,0.2875906825065613,0.2603814899921417,0.2598937749862671,0.27960947155952454,-0.0930083766579628,-0.3383618891239166,0.10935086011886597
4,0.38387057185173035,0.36779624223709106,0.36209800839424133,0.38266488909721375,-0.16170625388622284,-0.22847861051559448,0.184374138712883
5,0.43778055906295776,0.41075074672698975,0.4214054346084595,0.4521787762641907,-0.3939352035522461,-0.27178215980529785,0.17606636881828308
6,0.4245361089706421,0.46566513180732727,0.45966359972953796,0.4748474955558777,-0.2439599484205246,-0.2706378698348999,0.21835242211818695
7,0.4458380937576294,0.4502641260623932,0.4566124975681305,0.44843554496765137,-0.19914568960666656,-0.2913621962070465,0.21844039857387543
8,0.3375876247882843,0.31467896699905396,0.3255921006202698,0.33290383219718933,-0.16056190431118011,-0.2647485136985779,0.14757534861564636
9,0.3500043451786041,0.33238962292671204,0.3394838571548462,0.34242942929267883,-0.1077168807387352,-0.31447386741638184,0.15701942145824432
10,0.2597872018814087,0.2466525286436081,0.2376142293214798,0.2620527446269989,-0.13133223354816437,-0.1114373430609703,0.12722286581993103
11,0.49716824293136597,0.46459856629371643,0.47676894068717957,0.48460137844085693,-0.27903902530670166,-0.24208059906959534,0.23366957902908325
12,0.20225417613983154,0.2121918797492981,0.2095719873905182,0.2358195185661316,-0.15707318484783173,-0.046934835612773895,0.10930491983890533
13,0.4682497978210449,0.49767786264419556,0.5026900172233582,0.4955739378929138,-0.3163219690322876,-0.1791166514158249,0.244792178273201
